state,party,p_lean1,candidate,inc,last_pct,gb,adj
New Hampshire,republican,-0.008163530632072091,NA,0,NA,0.445,0.4368364693679279
New Hampshire,other,0.004075300915787748,NA,0,NA,0.0253,0.029375300915787748
New Jersey,democrat,0.0059901210498010116,Cory Booker,1,0.558,0.528,0.533990121049801
New Jersey,republican,-0.02009654189664961,NA,0,NA,0.445,0.4249034581033504
New Jersey,other,0.014157558058304077,NA,0,NA,0.0253,0.039457558058304074
New Mexico,democrat,0.0067901210498010345,NA,0,NA,0.528,0.5347901210498011
New Mexico,republican,-0.1430965418966496,NA,0,NA,0.445,0.3019034581033504
New Mexico,other,0.13635755805830407,NA,0,NA,0.0253,0.16165755805830406
North Carolina,democrat,-0.022111762581528527,NA,0,NA,0.528,0.5058882374184714
North Carolina,republican,0.02403646936792797,Thom Tillis,1,0.488,0.445,0.469036469367928
North Carolina,other,-0.0019246990842122502,NA,0,NA,0.0253,0.02337530091578775
Oklahoma,democrat,-0.23001176258152853,NA,0,NA,0.528,0.29798823741847147
Oklahoma,republican,0.19083646936792792,Jim Inhofe,1,0.68,0.445,0.6358364693679279
Oklahoma,other,0.03917530091578774,NA,0,NA,0.0253,0.06447530091578774
Oregon,democrat,0.09018823741847143,Jeff Merkley,1,0.557,0.528,0.6181882374184715
Oregon,republican,-0.15306353063207206,NA,0,NA,0.445,0.29193646936792794
Oregon,other,0.06287530091578775,NA,0,NA,0.0253,0.08817530091578775
Rhode Island,democrat,0.08029012104980093,Jack Reed,1,0.706,0.528,0.608290121049801
Rhode Island,republican,-0.06509654189664965,NA,0,NA,0.445,0.37990345810335036
Rhode Island,other,-0.015242441941695925,NA,0,NA,0.0253,0.010057558058304075
South Carolina,democrat,-0.1065117625815285,NA,0,NA,0.528,0.4214882374184715
South Carolina,republican,0.11913646936792793,Lindsay Graham,1,0.553,0.445,0.5641364693679279
South Carolina,other,-0.012624699084212251,NA,0,NA,0.0253,0.012675300915787748
South Dakota,democrat,-0.1941117625815285,NA,0,NA,0.528,0.3338882374184715
South Dakota,republican,0.23173646936792797,Mike Rounds,1,0.504,0.445,0.676736469367928
South Dakota,other,0.1638629941993921,NA,0,NA,0.0253,0.1891629941993921
Tennessee,democrat,-0.09490987895019903,NA,0,NA,0.528,0.433090121049801
Tennessee,republican,0.0987034581033504,NA,0,NA,0.445,0.5437034581033504
Tennessee,other,-0.0037424419416959252,NA,0,NA,0.0253,0.021557558058304074
Texas,democrat,-0.050809878950199006,NA,0,NA,0.528,0.477190121049801
Texas,republican,0.060503458103350394,John Cornyn,1,0.616,0.445,0.5055034581033504
Texas,other,-0.009642441941695926,NA,0,NA,0.0253,0.015657558058304072
Virginia,democrat,0.03589012104980094,Mark Warner,1,0.491,0.528,0.563890121049801
Virginia,republican,-0.038296541896649605,NA,0,NA,0.445,0.4067034581033504
Virginia,other,0.0024575580583040754,NA,0,NA,0.0253,0.027757558058304075
West Virginia,democrat,-0.10758136846699495,NA,0,NA,0.528,0.42041863153300507
West Virginia,republican,0.11071837426760289,Shelley Moore Capito,1,0.621,0.445,0.5557183742676028
West Virginia,other,-0.0031370058006079046,NA,0,NA,0.0253,0.022162994199392095
Wyoming,democrat,-0.23310987895019902,NA,0,NA,0.528,0.294890121049801
Wyoming,republican,0.22120345810335035,NA,0,NA,0.445,0.6662034581033504
Wyoming,other,0.011957558058304073,NA,0,NA,0.0253,0.03725755805830407
